id,svenska,ordklass,förklaring_sv,kort_förklaring_sv,suomeksi,område,källa_url
1,agens,substantiv,"När man talar om agens talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i posthumanistisk, nymaterialistisk och relationell forskning, där man ofta behöver beskriva relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Handlar om förmåga att påverka.,toimijuus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
2,materiell agens,substantiv,"När man talar om materiell agens talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i posthumanistisk, nymaterialistisk och relationell forskning, där man ofta behöver beskriva relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Handlar om förmåga att påverka.,materiaalinen toimijuus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
3,intraaktion,substantiv,"Med intraaktion avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Visar hur relationer skapar fenomen.,intra-aktio,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
4,sammantvinnande,substantiv,"sammantvinnande är ett centralt substantiv inom posthumanistisk, nymaterialistisk och relationell forskning. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver sammanflätade relationer.,yhteenkietoutuminen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
5,trassel,substantiv,"trassel betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver sammanflätade relationer.,sotkuinen kietoutuma,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
6,assemblage,substantiv,"Med assemblage avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Beskriver sammanflätade relationer.,sommitelma / assemblage,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
7,blivande,substantiv,"blivande är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Betonar processer och förändring.,tuleminen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
8,tillblivelse,substantiv,"När man talar om tillblivelse talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i posthumanistisk, nymaterialistisk och relationell forskning, där man ofta behöver beskriva relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Betonar processer och förändring.,muotoutuminen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
9,förkroppsligande,substantiv,"Som forskningsbegrepp pekar förkroppsligande på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Knyter kunskap till kroppslig erfarenhet.,ruumiillistuminen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
10,affekt,substantiv,"Med affekt avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Fångar känslors och kroppars verkan.,affekti,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
